1.0.0.0/8|1|1
2.0.0.0/8|2|2
3.0.0.0/8|3|3
4.0.0.0/8|4|4
5.0.0.0/8|5|5
6.0.0.0/8|6|6
7.0.0.0/8|7|7
8.0.0.0/8|8|8
9.0.0.0/8|9|9
10.0.0.0/8|10|10
11.0.0.0/8|11|11
12.0.0.0/8|12|12
13.0.0.0/8|13|13
14.0.0.0/8|14|14
15.0.0.0/8|15|15
16.0.0.0/8|16|16
17.0.0.0/8|17|17
18.0.0.0/8|18|18
19.0.0.0/8|19|19
20.0.0.0/8|20|20
21.0.0.0/8|21|21
22.0.0.0/8|22|22
23.0.0.0/8|23|23
24.0.0.0/8|24|24
25.0.0.0/8|25|25
26.0.0.0/8|26|26
27.0.0.0/8|27|27
28.0.0.0/8|28|28
29.0.0.0/8|29|29
30.0.0.0/8|30|30
31.0.0.0/8|31|31
32.0.0.0/8|32|32
